,artist,streamable,image,mbid,album,name,url,date
0,"{'mbid': '', '#text': 'Team Scheisse'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}]",29fe9778-d19f-48dd-998b-b4ca6ec39e7b,"{'mbid': '5b478bb4-c678-4873-9d7f-6f05c8944458', '#text': 'Ich habe dir Blumen von der Tanke mitgebracht (jetzt wird geküsst)'}",Karstadtdetektiv,https://www.last.fm/music/Team+Scheisse/_/Karstadtdetektiv,"{'uts': '1664398507', '#text': '28 Sep 2022, 20:55'}"
1,"{'mbid': '', '#text': 'Team Scheisse'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6916f22ef2619a5b5ea4d07479ff5db9.jpg'}]",2c51b87a-a987-4c24-bea7-fe6428573dfa,"{'mbid': '5b478bb4-c678-4873-9d7f-6f05c8944458', '#text': 'Ich habe dir Blumen von der Tanke mitgebracht (jetzt wird geküsst)'}",Rein ins Loch,https://www.last.fm/music/Team+Scheisse/_/Rein+ins+Loch,"{'uts': '1664398407', '#text': '28 Sep 2022, 20:53'}"
2,"{'mbid': '97ea00fd-a6b3-4acf-a413-cba66c415748', '#text': 'Groupe RTD'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/383a994968fd27e6386e05afcefa3e00.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/383a994968fd27e6386e05afcefa3e00.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/383a994968fd27e6386e05afcefa3e00.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/383a994968fd27e6386e05afcefa3e00.jpg'}]",08c603bb-f3fb-4b6b-9a85-446bb3d710de,"{'mbid': '5acb99d6-3d44-4aa6-b03c-50db7ab0f7d1', '#text': 'The Dancing Devils of Djibouti'}",Raga Kaan Ka'Eegtow (You Are the One I Love),https://www.last.fm/music/Groupe+RTD/_/Raga+Kaan+Ka%27Eegtow+(You+Are+the+One+I+Love),"{'uts': '1664196460', '#text': '26 Sep 2022, 12:47'}"
3,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",12fc1163-94d4-4a4e-9d08-3cca4c68a035,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Landers,https://www.last.fm/music/Cola/_/Landers,"{'uts': '1664172597', '#text': '26 Sep 2022, 06:09'}"
4,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",b160a554-2447-4663-a4c1-7f78973cab32,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Fulton Park,https://www.last.fm/music/Cola/_/Fulton+Park,"{'uts': '1664172435', '#text': '26 Sep 2022, 06:07'}"
5,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",2e5cc4ec-4cb1-41b9-ba39-a41a882382f2,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Mint,https://www.last.fm/music/Cola/_/Mint,"{'uts': '1664172232', '#text': '26 Sep 2022, 06:03'}"
6,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",25aacdd0-0f42-44ac-854e-4fc599364705,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Gossamer,https://www.last.fm/music/Cola/_/Gossamer,"{'uts': '1664172033', '#text': '26 Sep 2022, 06:00'}"
7,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",f4244c44-19b8-456a-b440-d8ecce8e5fe6,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Water Table,https://www.last.fm/music/Cola/_/Water+Table,"{'uts': '1664171790', '#text': '26 Sep 2022, 05:56'}"
8,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",3b199884-fb91-402c-8f3f-c6db8e1f1f5c,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Degree,https://www.last.fm/music/Cola/_/Degree,"{'uts': '1664171607', '#text': '26 Sep 2022, 05:53'}"
9,"{'mbid': '', '#text': 'Cola'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b706e403e3bf69a369c8e03578563ccf.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b706e403e3bf69a369c8e03578563ccf.jpg'}]",ee66c762-2a0c-4316-ba1e-b8d7bf47aaf3,"{'mbid': '3fcb85dc-abef-430e-b1af-4dbcae059114', '#text': 'Deep in View'}",Met Resistance,https://www.last.fm/music/Cola/_/Met+Resistance,"{'uts': '1664171419', '#text': '26 Sep 2022, 05:50'}"
